remoteness_area, address_line_1, hospname, address_line_2, ogc_fid, state, _2012_13_peer_group_name, geocode_type, longitude, latitude
"Major Cities","1 Therry RD","Campbelltown","Campbelltown 2560",1,"NSW","Large public acute","premise",150.8943321,-33.6623628
"Major Cities","430 Kingsway","Sutherland","Caringbah 2229",2,"NSW","Large public acute","establishment",151.114017,-34.0373
"Major Cities","33A Hospital RD","Bulli","Bulli 2516",3,"NSW","Small public acute with surgery/obstetrics","courthouse",151.2131534,-33.8690712
"Major Cities","76 Holden ST","Gosford","Gosford 2250",4,"NSW","Large public acute","premise",151.1255073,-33.8934143
"Outer Regional","42 Nowland ST","Quirindi","Quirindi 2343",5,"NSW","Other small public acute","premise",150.9469536,-33.7667391
"Inner Regional","31 Dean ST","Tamworth","North Tamworth 2340",6,"NSW","Large public acute","establishment",150.9249179,-31.0728909
"Outer Regional","146 Long ST","Warialda (MPS)","Warialda 2402",7,"NSW","Other small public acute","establishment",150.9370818,-33.8454465
"Inner Regional","22-34 North ST","Werris Creek","Werris Creek 2341",8,"NSW","Very small public","subpremise",151.1530381,-33.8787631
"Inner Regional","166 Church ST","Gloucester","Gloucester 2422",9,"NSW","Small public acute with surgery/obstetrics","establishment",151.0045798,-33.8112863
"Inner Regional","36 Brentwood ST","Muswellbrook","Muswellbrook 2333",10,"NSW","Small public acute with surgery/obstetrics","street_address",150.922081,-33.8609529
"Inner Regional","24 Stafford ST","Scott Memorial Scone","Scone 2337",11,"NSW","Small public acute with surgery/obstetrics","street_address",151.2290061,-33.8835948
"Inner Regional","1 Spring ST","Campbell Coraki","Coraki 2471",12,"NSW","Very small public","establishment",151.184963,-33.796401
"Inner Regional","1 Hotham ST","Casino","Casino 2470",13,"NSW","Small public acute with surgery/obstetrics","casino",151.1952317,-33.8679724
"Inner Regional","8 Ewing ST","Murwillumbah","Murwillumbah 2484",14,"NSW","Small public acute with surgery/obstetrics","premise",150.246663,-30.9950088
"Outer Regional","70 Punt RD","Barham Koondrook","Barham 2732",15,"NSW","Other small public acute","establishment",151.7804825,-32.916047
"Inner Regional","53 Guy ST","Corowa","Corowa 2646",16,"NSW","Small public acute with surgery/obstetrics","street_address",146.3834193,-35.9935979
"Inner Regional","50 Tor ST","Gundagai","Gundagai 2722",17,"NSW","Other small public acute","establishment",148.102021,-35.052107
"Inner Regional","67 Broadway ST","Junee (MPS)","Junee 2663",18,"NSW","Other small public acute","establishment",151.0583539,-33.9260439
"Remote","1 Lerida RD","Cobar","Cobar 2835",19,"NSW","Other small public acute","premise",149.2725959,-34.7832517
"Inner Regional","1 Myall ST","Dubbo","Dubbo 2830",20,"NSW","Large public acute","establishment",148.636583,-32.242896
"Inner Regional","361 Howick ST","Bathurst","Bathurst 2795",21,"NSW","Large public acute","establishment",149.582022,-33.418366
"Outer Regional","1 Cooper ST","Eugowra (MPS)","Eugowra 2806",22,"NSW","Very small public","doctor",151.2406308,-33.8770538
"Very remote","1 Sturt ST","Tibooburra","Tibooburra 2880",23,"NSW","Outpatient hospital","establishment",147.3711292,-35.1135685
"Major Cities","1 Wicks RD","Macquarie","North Ryde 2113",24,"NSW","Psychiatric public","establishment",151.1332688,-33.7890774
"Major Cities","143 Dora ST","Morisset","Morisset 2264",25,"NSW","Psychiatric public","establishment",151.4798087,-33.1118074
"Outer Regional","26 Colamba Street","MILES HOSPITAL","Miles 4415",26,"QLD","Other small public acute","premise",153.0625424,-26.7221228
"Very remote","Fifth Avenue","INJUNE HOSPITAL","Injune 4454",27,"QLD","Other small public acute","establishment",148.5629924,-25.8471264
"Very remote","Jarley Street","YARAKA CLINIC","Yaraka 4702",28,"QLD","Outpatient hospital","establishment",144.0776796,-24.8834428
"Remote","19-21 Tumby Bay RD","Cummins and District Memorial Hospital","Cummins 5631",29,"SA","Other small public acute","subpremise",135.7324839,-34.263675
"Major Cities","41-69 Smart RD","Modbury Hospital","Modbury 5092",30,"SA","Large public acute","establishment",138.6890523,-34.8343392
"Major Cities","313 Moun-Ding Street","ROBINA HOSPITAL","Napranum 4874",31,"QLD","Medium public acute","street_address",141.890075,-12.684965
"Very remote","4-6 Memorial DR","Elliston Hospital","Elliston 5670",32,"SA","Very small public","establishment",134.8926271,-33.6478931
"Major Cities","Yamba Dr","Canberra Hospital & Health Services","Garran 2605",33,"ACT","Principal referral","establishment",149.1011858,-35.3459297
"Major Cities","Haydon DR","Calvary Public Hospital","Bruce 2617",34,"ACT","Large public acute","establishment",149.0898052,-35.252948
"Major Cities","1 High ST","Sydney Children's","Randwick 2031",35,"NSW","Childrens","establishment",151.2389339,-33.9170434
"Major Cities","571 Canterbury RD","Tresillian Care Centres","Campsie 2194",36,"NSW","Early parenting centres","establishment",151.0975559,-33.9186358
"Very remote","1 Lagoon RD","Gower Wilson (MPS)","Lord Howe Island 2898",37,"NSW","Very small public","establishment",159.066631,-31.527928
"Major Cities","147 Barker ST","Prince of Wales","Randwick 2031",38,"NSW","Principal referral","establishment",151.2391449,-33.9180831
"Major Cities","Barker ST","Royal For Women","Randwick 2031",39,"NSW","Womens","establishment",151.2382611,-33.9188771
"Inner Regional","85 Tannery RD","David Berry","Berry 2535",40,"NSW","Non-acute public-rehabilitation and GEM","establishment",150.7062628,-34.7758631
"Major Cities","256 Derby ST","Nepean","Kingswood 2747",41,"NSW","Principal referral","establishment",150.7128927,-33.7597319
"Major Cities","Nepean Hospital","Wentworth Psychiatric Services","Penrith 2750",42,"NSW","Unpeered","establishment",150.7128927,-33.7597319
"Major Cities","36-76 Palmerston RD","Hornsby and Ku-Ring-Gai","Hornsby 2077",43,"NSW","Large public acute","establishment",151.1119404,-33.7034017
"Major Cities","1 Reserve RD","Royal North Shore","St Leonards 2065",44,"NSW","Principal referral","establishment",151.191836,-33.8208562
"Major Cities","1 Denistone RD","Ryde","Eastwood 2122",45,"NSW","Medium public acute","establishment",151.0900901,-33.7957733
"Major Cities","Wyong Road","Long Jetty","Long Jetty 2261",46,"NSW","Non-acute public-rehabilitation and GEM","route",151.4317452,-33.3337333
"Major Cities","Pacific HWY","Wyong","Kanwal 2259",47,"NSW","Large public acute","route",151.4865445,-33.2565071
"Major Cities","4 Edith ST","Calvary Mater Newcastle","Waratah 2298",48,"NSW","Large public acute","establishment",151.7207906,-32.8984272
"Major Cities","156 Kookaburra CCT","John Hunter","New Lambton Heights 2305",49,"NSW","Principal referral","establishment",151.6926959,-32.9227041
"Major Cities","14 Powell ST","The Tweed Hospital","Tweed Heads 2485",50,"NSW","Large public acute","establishment",153.5454343,-28.1771353
"Inner Regional","Cnr Uralba & Hunter Streets","Riverlands Drug and Alcohol Centre","Lismore 2480",51,"NSW","Drug and alcohol hospital","establishment",153.290021,-28.809788
"Outer Regional","127 Princess ST","Urana (MPS)","Urana 2645",52,"NSW","Very small public","establishment",146.2672709,-35.3266503
"Remote","1 Walgett ST","Collarenebri (MPS)","Collarenebri 2833",53,"NSW","Very small public","establishment",148.5815907,-29.5446758
"Outer Regional","176 Doctor Kater DR","Warren (MPS)","Warren 2824",54,"NSW","Other small public acute","establishment",147.8361159,-31.6941599
"Inner Regional","1 Browns AV","Canowindra","Canowindra 2804",55,"NSW","Other small public acute","establishment",148.6704577,-33.5582001
"Outer Regional","1 Madline ST","Condobolin","Condobolin 2877",56,"NSW","Other small public acute","establishment",147.1541649,-33.0822194
"Outer Regional","Cnr Cargo and Toogong Streets","Cudal","Cudal 2864",57,"NSW","Outpatient hospital","intersection",148.744061,-33.2860423
"Very remote","Perry ST","Menindee Health Service","Menindee 2879",58,"NSW","Outpatient hospital","establishment",142.4166102,-32.3911427
"Major Cities","Hospital RD","Thomas Walker","Concord Repatriation Hospital 2139",59,"NSW","Psychiatric public","establishment",151.0927445,-33.8374144
"Inner Regional","Taralga RD","Kenmore","Goulburn 2580",60,"NSW","Psychiatric public","route",149.754558,-34.7145469
"Outer Regional","Rocklands DV","Royal Darwin Hospital","Tiwi 810",61,"NT","Principal referral","establishment",130.8820529,-12.3565036
"Remote","Gorge RD","Katherine Hospital","Katherine 850",62,"NT","Small public acute with surgery/obstetrics","establishment",132.2720037,-14.4390749
"Very remote","Mathew Flinders WAY","Gove Hospital","Nhulunbuy 880",63,"NT","Small public acute with surgery/obstetrics","establishment",136.7773472,-12.1864846
"Major Cities","Raymond Terrace","MATER ADULT HOSPITAL","South Brisbane 4101",64,"QLD","Large public acute","establishment",153.02832,-27.485346
"Major Cities","Raymond Terrace","MATER CHILDREN'S HOSPITAL","South Brisbane 4101",65,"QLD","Childrens","establishment",153.0279675,-27.4851552
"Major Cities","Raymond Terrace","MATER MOTHERS' HOSPITAL","South Brisbane 4101",66,"QLD","Womens","establishment",153.0274932,-27.4854792
"Major Cities","Rode Road","THE PRINCE CHARLES HOSPITAL","Chermside 4032",67,"QLD","Principal referral","establishment",153.0220522,-27.3904803
"Major Cities","Chelmsford Avenue","IPSWICH HOSPITAL","Ipswich 4305",68,"QLD","Large public acute","establishment",152.7582612,-27.6190823
"Major Cities","Anzac Avenue","REDCLIFFE HOSPITAL","Redcliffe 4020",69,"QLD","Large public acute","establishment",153.105304,-27.228365
"Major Cities","Hamilton Road","ELLEN BARRON FAMILY CENTRE","Chermside 4032",70,"QLD","Early parenting centres","establishment",153.02422,-27.3864592
"Major Cities","Corner of Kessels and Troughton Roads","QUEEN ELIZABETH II JUBILEE HOSPITAL","Coopers Plains 4108",71,"QLD","Large public acute","establishment",153.0498212,-27.5599462
"Outer Regional","Corner of Petrie Street and Oxley Parade","MARIE ROSE CENTRE","Dunwich 4183",72,"QLD","Very small public","intersection",153.399815,-27.497545
"Major Cities","Weippin Street","REDLAND HOSPITAL","Cleveland 4163",73,"QLD","Medium public acute","establishment",153.2520892,-27.5404541
"Major Cities","Corner of Armstrong and Loganlea Roads","LOGAN HOSPITAL","Meadowbrook 4131",74,"QLD","Large public acute","establishment",153.1418031,-27.6700261
"Inner Regional","64 Tina Street","BEAUDESERT HOSPITAL","Beaudesert 4285",75,"QLD","Other small public acute","establishment",153.0028336,-27.9850968
"Major Cities","Hospital Road","NAMBOUR HOSPITAL","Nambour 4560",76,"QLD","Large public acute","establishment",152.9520572,-26.6210583
